dttm,value,label
2013-07-12 17:20:00,187.3333333,0
2013-07-12 17:35:00,128.0666667,0
2013-07-12 17:50:00,148.8,0
2013-07-12 18:05:00,154.4666667,0
2013-07-12 18:20:00,137,0
2013-07-12 18:35:00,137,0
2013-07-12 18:50:00,137,0
2013-07-12 19:05:00,137,0
2013-07-12 19:20:00,137,0
2013-07-12 19:35:00,137,0
2013-07-12 19:50:00,149.9333333,0
2013-07-12 20:05:00,172,0
2013-07-12 20:20:00,165,0
2013-07-12 20:35:00,198.3333333,0
2013-07-12 20:50:00,151,0
2013-07-12 21:05:00,174,0
2013-07-12 21:20:00,159.5333333,0
2013-07-12 21:35:00,173.1333333,0
2013-07-12 21:50:00,178.8666667,0
2013-07-12 22:05:00,161.1333333,0
2013-07-12 22:20:00,160.8,0
2013-07-12 22:35:00,158.1333333,0
2013-07-12 22:50:00,158.1333333,0
2013-07-12 23:05:00,153.4666667,0
2013-07-12 23:20:00,173.0666667,0
2013-07-12 23:35:00,118.4666667,0
2013-07-12 23:50:00,203.0666667,0
2013-07-13 00:05:00,174.0666667,0
2013-07-13 00:20:00,161.2666667,0
2013-07-13 00:35:00,186.8,0
2013-07-13 00:50:00,178.6,0
2013-07-13 01:05:00,203.9333333,0
2013-07-13 01:20:00,202.0666667,0
2013-07-13 01:35:00,187.3333333,0
2013-07-13 01:50:00,208,0
2013-07-13 02:05:00,187.2,0
2013-07-13 02:20:00,219.3333333,0
2013-07-13 02:35:00,216.1333333,0
2013-07-13 02:50:00,196,0
2013-07-13 03:05:00,196,0
2013-07-13 03:20:00,196.3333333,0
2013-07-13 03:35:00,198,0
2013-07-13 03:50:00,236.6,0
2013-07-13 04:05:00,210.2666667,0
2013-07-13 04:20:00,245.4,0
2013-07-13 04:35:00,207.0666667,0
2013-07-13 04:50:00,207,0
2013-07-13 05:05:00,202.8666667,0
2013-07-13 05:20:00,202,0
2013-07-13 05:35:00,201.7333333,0
2013-07-13 05:50:00,197.2,0
2013-07-13 06:05:00,197,0
2013-07-13 06:20:00,197,0
2013-07-13 06:35:00,197,0
2013-07-13 06:50:00,195.6666667,0
2013-07-13 07:05:00,192,0
2013-07-13 07:20:00,192,0
2013-07-13 07:35:00,192,0
2013-07-13 07:50:00,191.3333333,0
2013-07-13 08:05:00,190,0
2013-07-13 08:20:00,190,0
2013-07-13 08:35:00,188.4,0
2013-07-13 08:50:00,183,0
2013-07-13 09:05:00,179.5333333,0
2013-07-13 09:20:00,168.8666667,0
2013-07-13 09:35:00,162.2666667,0
2013-07-13 09:50:00,158.5333333,0
2013-07-13 10:05:00,154.2,0
2013-07-13 10:20:00,149.6666667,0
2013-07-13 10:35:00,121,0
2013-07-13 10:50:00,114,0
2013-07-13 11:05:00,114,0
2013-07-13 11:20:00,114,0
2013-07-13 11:35:00,114,0
2013-07-13 11:50:00,113.2,0
2013-07-13 12:05:00,105.1333333,0
2013-07-13 12:20:00,69.46666667,0
2013-07-13 12:35:00,18.2,0
2013-07-13 12:50:00,16,0
2013-07-13 13:05:00,16.06666667,0
2013-07-13 13:20:00,16.06666667,0
2013-07-13 13:35:00,16.4,0
2013-07-13 13:50:00,15,0
2013-07-13 14:05:00,15,0
2013-07-13 14:20:00,15,0
2013-07-13 14:35:00,15,0
2013-07-13 14:50:00,13.73333333,0
2013-07-13 15:05:00,9,0
2013-07-13 15:20:00,9,0
2013-07-13 15:35:00,9,0
2013-07-13 15:50:00,9,0
2013-07-13 16:05:00,9,0
2013-07-13 16:20:00,9,0
2013-07-13 16:35:00,9,0
2013-07-13 16:50:00,9,0
2013-07-13 17:05:00,9,0
2013-07-13 17:20:00,9,0
2013-07-13 17:35:00,9,0
2013-07-13 17:50:00,9,0
2013-07-13 18:05:00,9,0
2013-07-13 18:20:00,9,0
2013-07-13 18:35:00,9,0
2013-07-13 18:50:00,9,0
2013-07-13 19:05:00,9,0
2013-07-13 19:20:00,9,0
2013-07-13 19:35:00,9,0
2013-07-13 19:50:00,9,0
2013-07-13 20:05:00,9,0
2013-07-13 20:20:00,9,0
2013-07-13 20:35:00,9,0
2013-07-13 20:50:00,9,0
2013-07-13 21:05:00,9,0
2013-07-13 21:20:00,9,0
2013-07-13 21:35:00,9,0
2013-07-13 21:50:00,9,0
2013-07-13 22:05:00,9,0
2013-07-13 22:20:00,9,0
2013-07-13 22:35:00,9,0
2013-07-13 22:50:00,9,0
2013-07-13 23:05:00,9,0
2013-07-13 23:20:00,9,0
2013-07-13 23:35:00,9,0
2013-07-13 23:50:00,9,0
2013-07-14 00:05:00,9,0
2013-07-14 00:20:00,9,0
2013-07-14 00:35:00,9,0
2013-07-14 00:50:00,9.066666667,0
2013-07-14 01:05:00,42.53333333,0
2013-07-14 01:20:00,58.93333333,0
2013-07-14 01:35:00,66.6,0
2013-07-14 01:50:00,84.53333333,0
2013-07-14 02:05:00,109.0666667,0
2013-07-14 02:20:00,109,0
2013-07-14 02:35:00,109,0
